Date,Open,High,Low,Close,Volume,Adj Close
2014-04-08,34.080002,34.77,34.049999,34.689999,680700,34.689999
2014-04-07,34.700001,34.959999,33.98,34.080002,798000,34.080002
2014-04-04,35.27,35.599998,34.639999,34.77,700200,34.77
2014-04-03,34.779999,35.419998,34.669998,35.299999,1033700,35.299999
2014-04-02,34.259998,34.849998,34.169998,34.82,577200,34.82
2014-04-01,34.130001,34.560001,34.02,34.18,510700,34.18
2014-03-31,34.049999,34.57,34.009998,34.130001,532700,34.130001
2014-03-28,34.169998,34.619999,33.759998,33.970001,577800,33.970001
2014-03-27,34.380001,34.470001,33.939999,33.990002,745200,33.990002
2014-03-26,34.900002,35.290001,34.200001,34.259998,783800,34.259998
2014-03-25,34.450001,35.259998,34.41,34.830002,581000,34.830002
2014-03-24,34.360001,35.099998,34.110001,34.41,573100,34.41
2014-03-21,35.200001,35.540001,34.310001,34.360001,1459100,34.360001
2014-03-20,35.049999,35.57,34.610001,35.389999,609500,35.389999
2014-03-19,35.00,35.43,34.599998,35.16,433800,35.16
2014-03-18,34.700001,35.00,34.459999,34.77,1058500,34.77
2014-03-17,34.18,34.779999,34.18,34.700001,581600,34.700001
2014-03-14,34.77,34.869999,34.080002,34.16,1240000,34.16
2014-03-13,35.57,35.66,34.849998,34.849998,1418800,34.849998
2014-03-12,34.869999,35.68,34.50,35.599998,810900,35.599998
2014-03-11,36.369999,36.450001,34.919998,35.029999,948600,35.029999
2014-03-10,36.009998,36.759998,36.00,36.470001,408600,36.470001
